PlayerName,PlayerUID,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
Jaylon Jones,s:20~l:28~a:4241278,Black,9917.41%,23,Happy,9634.68%,N/A,10/14/1997,Georgia St,N/A,N/A,https://www.espn.com/nfl/player/_/id/4241278/jaylon-jones
J.J. Russell,s:20~l:28~a:4243366,Black,10000.00%,33,Happy,10000.00%,"6' 1"", 225 lbs",10/12/1998 (26),Memphis,N/A,Active,https://www.espn.com/nfl/player/_/id/4243366/jj-russell
McClendon Curtis,s:20~l:28~a:4247276,Black,10000.00%,28,Happy,9907.55%,"6' 6"", 325 lbs",9/16/1999 (25),Chattanooga,N/A,Active,https://www.espn.com/nfl/player/_/id/4247276/mcclendon-curtis
Vi Jones,s:20~l:28~a:4259636,Black,9890.71%,28,Happy,9964.12%,"6' 2"", 225 lbs",5/5/1998 (27),NC State,N/A,Active,https://www.espn.com/nfl/player/_/id/4259636/vi-jones
PJ Mustipher,s:20~l:28~a:4361421,Black,6653.42%,31,Neutral,9481.27%,"6' 4"", 318 lbs",11/10/1999 (25),Penn State,N/A,Active,https://www.espn.com/nfl/player/_/id/4361421/pj-mustipher
Emari Demercado,s:20~l:28~a:4362478,Black,9999.96%,30,Happy,9751.16%,"5' 9"", 215 lbs",1/20/1999 (26),TCU,N/A,Active,https://www.espn.com/nfl/player/_/id/4362478/emari-demercado
Starling Thomas V,s:20~l:28~a:4363408,Black,9999.91%,30,Neutral,9999.79%,"5' 10"", 194 lbs",1/25/2000 (25),UAB,N/A,Active,https://www.espn.com/nfl/player/_/id/4363408/starling-thomas-v
Ekow Boye-Doe,s:20~l:28~a:4373061,Black,10000.00%,27,Neutral,9999.78%,"6' 0"", 177 lbs",11/4/1999 (25),Kansas St,N/A,Active,https://www.espn.com/nfl/player/_/id/4373061/ekow-boye-doe
Jaden Davis,s:20~l:28~a:4426435,Black,10000.00%,26,Happy,9953.67%,"5' 10"", 182 lbs",2/18/2001 (24),Miami,"2024: Rd 7, Pk 226 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4426435/jaden-davis
Sincere Haynesworth,s:20~l:28~a:4427423,Black,9998.24%,26,Happy,9951.01%,"6' 1"", 300 lbs",4/13/2001 (24),Tulane,N/A,Active,https://www.espn.com/nfl/player/_/id/4427423/sincere-haynesworth
Valentin Senn,s:20~l:28~a:4428458,White,9617.03%,26,Neutral,9911.25%,"6' 7"", 310 lbs",N/A,UConn,N/A,Active,https://www.espn.com/nfl/player/_/id/4428458/valentin-senn
Xavier Weaver,s:20~l:28~a:4428811,Black,9579.93%,23,Neutral,9988.29%,"6' 1"", 169 lbs",10/12/2000 (24),Colorado,N/A,Active,https://www.espn.com/nfl/player/_/id/4428811/xavier-weaver
Josh Fryar,s:20~l:28~a:4429782,Latino Hispanic,3077.68%,37,Happy,9656.67%,"6' 5"", 320 lbs",N/A,Ohio State,N/A,Active,https://www.espn.com/nfl/player/_/id/4429782/josh-fryar
Elijah Simmons,s:20~l:28~a:4430478,Black,10000.00%,31,Neutral,5615.88%,"6' 1"", 334 lbs",N/A,Tennessee,N/A,Active,https://www.espn.com/nfl/player/_/id/4430478/elijah-simmons
Patrick Jenkins,s:20~l:28~a:4431172,Black,9982.18%,31,Neutral,9999.99%,"6' 2"", 293 lbs",N/A,Tulane,N/A,Active,https://www.espn.com/nfl/player/_/id/4431172/patrick-jenkins
Bryson Green,s:20~l:28~a:4432705,Latino Hispanic,3047.44%,25,Happy,9999.55%,"6' 1"", 207 lbs",N/A,Wisconsin,N/A,Active,https://www.espn.com/nfl/player/_/id/4432705/bryson-green
Owen Pappoe,s:20~l:28~a:4567219,Black,10000.00%,33,Happy,9089.74%,"6' 0"", 225 lbs",9/29/2000 (24),Auburn,"2023: Rd 5, Pk 168 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4567219/owen-pappoe
Garrett Williams,s:20~l:28~a:4568506,Black,10000.00%,28,Happy,9691.96%,"5' 10"", 192 lbs",6/1/2001 (24),Syracuse,"2023: Rd 3, Pk 72 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4568506/garrett-williams
Darius Robinson,s:20~l:28~a:4569480,Black,10000.00%,25,Happy,7444.30%,"6' 5"", 285 lbs",9/13/2001 (23),Missouri,"2024: Rd 1, Pk 27 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4569480/darius-robinson
Jeremiah Byers,s:20~l:28~a:4575664,White,9875.72%,36,Fear,8085.14%,"6' 4"", 320 lbs",N/A,Miami,N/A,Active,https://www.espn.com/nfl/player/_/id/4575664/jeremiah-byers
Will Johnson,s:20~l:28~a:4685408,Black,9955.71%,26,Happy,9980.10%,"6' 2"", 194 lbs",3/29/2003 (22),Michigan,"2025: Rd 2, Pk 47 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4685408/will-johnson
Walter Nolen III,s:20~l:28~a:4685503,Black,10000.00%,29,Neutral,9976.62%,"6' 4"", 296 lbs",10/14/2003 (21),Ole Miss,"2025: Rd 1, Pk 16 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4685503/walter-nolen-iii
Tip Reiman,s:20~l:28~a:4696700,White,9999.41%,25,Happy,9967.97%,"6' 5"", 271 lbs",9/17/2001 (23),Illinois,"2024: Rd 3, Pk 82 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4696700/tip-reiman
Max Melton,s:20~l:28~a:4698113,Black,10000.00%,27,Neutral,9997.02%,"5' 11"", 187 lbs",4/15/2002 (23),Rutgers,"2024: Rd 2, Pk 43 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4698113/max-melton
Tejhaun Palmer,s:20~l:28~a:4875912,Black,10000.00%,27,Happy,9903.54%,"6' 1"", 210 lbs",5/19/2000 (25),UAB,"2024: Rd 6, Pk 191 (ARI)",Active,https://www.espn.com/nfl/player/_/id/4875912/tejhaun-palmer
Isaiah Adams,s:20~l:28~a:5084939,Latino Hispanic,3265.48%,26,Neutral,9992.00%,"6' 4"", 315 lbs",7/21/2000 (24),Illinois,"2024: Rd 3, Pk 71 (ARI)",Active,https://www.espn.com/nfl/player/_/id/5084939/isaiah-adams
Kirk Cousins,s:20~l:28~a:14880,White,9999.91%,34,Happy,9985.65%,"6' 3"", 205 lbs",8/19/1988 (36),Michigan State,"2012: Rd 4, Pk 102 (WSH)",Active,https://www.espn.com/nfl/player/_/id/14880/kirk-cousins
Jake Matthews,s:20~l:28~a:16713,White,9242.87%,33,Neutral,5396.19%,"6' 5"", 310 lbs",2/11/1992 (33),Texas A&M,"2014: Rd 1, Pk 6 (ATL)",Active,https://www.espn.com/nfl/player/_/id/16713/jake-matthews
Storm Norton,s:20~l:28~a:2973014,White,9999.96%,29,Happy,9829.67%,"6' 7"", 310 lbs",5/16/1994 (31),Toledo,N/A,Active,https://www.espn.com/nfl/player/_/id/2973014/storm-norton
Bradley Pinion,s:20~l:28~a:2977680,White,9999.12%,29,Happy,9876.39%,"6' 5"", 265 lbs",6/1/1994 (31),Clemson,"2015: Rd 5, Pk 165 (SF)",Active,https://www.espn.com/nfl/player/_/id/2977680/bradley-pinion
Leonard Floyd,s:20~l:28~a:3043136,Black,10000.00%,29,Happy,9812.02%,"6' 3"", 240 lbs",9/8/1992 (32),Georgia,"2016: Rd 1, Pk 9 (CHI)",Active,https://www.espn.com/nfl/player/_/id/3043136/leonard-floyd
KhaDarel Hodge,s:20~l:28~a:3047876,Black,10000.00%,25,Happy,9211.28%,"6' 2"", 210 lbs",1/3/1995 (30),PV A&M,N/A,Active,https://www.espn.com/nfl/player/_/id/3047876/khadarel-hodge
Younghoe Koo,s:20~l:28~a:3049899,Asian,9998.48%,32,Neutral,6312.79%,"5' 10"", 195 lbs",8/3/1994 (30),Ga Southern,N/A,Active,https://www.espn.com/nfl/player/_/id/3049899/younghoe-koo
Mike Ford Jr.,s:20~l:28~a:3050916,Black,5236.00%,24,Happy,9998.59%,"6' 0"", 194 lbs",8/4/1995 (29),SE Missouri St,N/A,Active,https://www.espn.com/nfl/player/_/id/3050916/mike-ford-jr
Kevin King,s:20~l:28~a:3052170,Black,4777.36%,27,Neutral,5313.40%,"6' 3"", 200 lbs",5/5/1995 (30),Washington,"2017: Rd 2, Pk 33 (GB)",Active,https://www.espn.com/nfl/player/_/id/3052170/kevin-king
Morgan Fox,s:20~l:28~a:3059620,White,9966.56%,30,Happy,9839.77%,"6' 3"", 259 lbs",9/12/1994 (30),CO St Pueb,N/A,Active,https://www.espn.com/nfl/player/_/id/3059620/morgan-fox
Elijah Wilkinson,s:20~l:28~a:3059839,Black,9987.96%,30,Happy,9690.24%,"6' 4"", 310 lbs",2/10/1995 (30),UMass,N/A,Active,https://www.espn.com/nfl/player/_/id/3059839/elijah-wilkinson
Jamal Agnew,s:20~l:28~a:3061612,Black,9936.43%,30,Neutral,9893.48%,"5' 10"", 190 lbs",4/3/1995 (30),San Diego,"2017: Rd 5, Pk 165 (DET)",Active,https://www.espn.com/nfl/player/_/id/3061612/jamal-agnew
Brandon Parker,s:20~l:28~a:3072292,Black,9999.99%,29,Happy,9832.86%,"6' 7"", 320 lbs",10/21/1995 (29),NC A&T,"2018: Rd 3, Pk 65 (OAK)",Active,https://www.espn.com/nfl/player/_/id/3072292/brandon-parker
Kentavius Street,s:20~l:28~a:3116726,Black,10000.00%,29,Neutral,9993.35%,"6' 2"", 315 lbs",5/8/1996 (29),NC State,"2018: Rd 4, Pk 128 (SF)",Active,https://www.espn.com/nfl/player/_/id/3116726/kentavius-street
Easton Stick,s:20~l:28~a:3120590,White,9853.72%,25,Happy,9999.48%,"6' 1"", 217 lbs",9/15/1995 (29),North Dakota St,"2019: Rd 5, Pk 166 (LAC)",Active,https://www.espn.com/nfl/player/_/id/3120590/easton-stick
Kaden Elliss,s:20~l:28~a:3124890,White,6990.22%,25,Neutral,5166.15%,"6' 2"", 240 lbs",6/10/1995 (30),Idaho,"2019: Rd 7, Pk 244 (NO)",Active,https://www.espn.com/nfl/player/_/id/3124890/kaden-elliss
Kaleb McGary,s:20~l:28~a:3127304,White,9985.72%,31,Neutral,9790.96%,"6' 6"", 330 lbs",2/22/1995 (30),Washington,"2019: Rd 1, Pk 31 (ATL)",Active,https://www.espn.com/nfl/player/_/id/3127304/kaleb-mcgary
Josh Woods,s:20~l:28~a:3128303,Black,9974.85%,30,Happy,9967.93%,"6' 1"", 240 lbs",7/1/1996 (28),Maryland,N/A,Active,https://www.espn.com/nfl/player/_/id/3128303/josh-woods
Chris Lindstrom,s:20~l:28~a:3672833,Latino Hispanic,4366.13%,24,Happy,9956.06%,"6' 3"", 310 lbs",2/28/1997 (28),Boston College,"2019: Rd 1, Pk 14 (ATL)",Active,https://www.espn.com/nfl/player/_/id/3672833/chris-lindstrom
Ray-Ray McCloud III,s:20~l:28~a:3728262,Black,10000.00%,27,Neutral,9511.87%,"5' 9"", 185 lbs",10/15/1996 (28),Clemson,"2018: Rd 6, Pk 187 (BUF)",Active,https://www.espn.com/nfl/player/_/id/3728262/ray-ray-mccloud-iii
David Sills V,s:20~l:28~a:3871102,White,9996.26%,24,Happy,4626.83%,"6' 3"", 211 lbs",5/29/1996 (29),West Virginia,N/A,Active,https://www.espn.com/nfl/player/_/id/3871102/david-sills-v
Mike Hughes,s:20~l:28~a:3895841,Black,9991.80%,25,Neutral,8321.37%,"5' 10"", 190 lbs",2/11/1997 (28),UCF,"2018: Rd 1, Pk 30 (MIN)",Active,https://www.espn.com/nfl/player/_/id/3895841/mike-hughes
Liam McCullough,s:20~l:28~a:3915528,Latino Hispanic,4529.30%,26,Happy,9022.16%,"6' 2"", 245 lbs",6/5/1997 (28),Ohio State,N/A,Active,https://www.espn.com/nfl/player/_/id/3915528/liam-mccullough
Jessie Bates III,s:20~l:28~a:3919512,Latino Hispanic,3062.36%,25,Happy,9058.98%,"6' 1"", 210 lbs",2/26/1997 (28),Wake Forest,"2018: Rd 2, Pk 54 (CIN)",Active,https://www.espn.com/nfl/player/_/id/3919512/jessie-bates-iii
Jordan Williams,s:20~l:28~a:3928939,Latino Hispanic,3719.95%,23,Happy,9897.90%,N/A,5/26/1997,Baylor,N/A,N/A,https://www.espn.com/nfl/player/_/id/3928939/jordan-williams
Tyrone Wheatley Jr.,s:20~l:28~a:3929922,Black,10000.00%,31,Neutral,9964.80%,"6' 6"", 265 lbs",2/4/1997 (28),Morgan State,N/A,Active,https://www.espn.com/nfl/player/_/id/3929922/tyrone-wheatley-jr
David Onyemata,s:20~l:28~a:4002046,Black,10000.00%,29,Angry,7423.33%,"6' 4"", 300 lbs",11/13/1992 (32),Manitoba,"2016: Rd 4, Pk 120 (NO)",Active,https://www.espn.com/nfl/player/_/id/4002046/david-onyemata
Lamar Jackson,s:20~l:28~a:4034849,Black,9581.27%,33,Neutral,9977.89%,"6' 2"", 208 lbs",4/13/1998 (27),Nebraska,N/A,Active,https://www.espn.com/nfl/player/_/id/4034849/lamar-jackson
Feleipe Franks,s:20~l:28~a:4034948,Indian,3111.49%,32,Happy,9880.64%,"6' 6"", 234 lbs",12/22/1997 (27),Arkansas,N/A,Active,https://www.espn.com/nfl/player/_/id/4034948/feleipe-franks
Charlie Woerner,s:20~l:28~a:4035020,White,9986.66%,28,Happy,9991.43%,"6' 5"", 250 lbs",10/16/1997 (27),Georgia,"2020: Rd 6, Pk 190 (SF)",Active,https://www.espn.com/nfl/player/_/id/4035020/charlie-woerner
Ryan Neuzil,s:20~l:28~a:4036444,White,10000.00%,39,Fear,8163.31%,"6' 3"", 301 lbs",7/31/1997 (27),App State,N/A,Active,https://www.espn.com/nfl/player/_/id/4036444/ryan-neuzil
Divine Deablo,s:20~l:28~a:4037626,Black,10000.00%,30,Neutral,9999.14%,"6' 3"", 226 lbs",8/17/1998 (26),Virginia Tech,"2021: Rd 3, Pk 80 (LV)",Active,https://www.espn.com/nfl/player/_/id/4037626/divine-deablo
Khalid Kareem,s:20~l:28~a:4039029,Black,7011.96%,27,Happy,9984.99%,"6' 4"", 268 lbs",4/28/1998 (27),Notre Dame,"2020: Rd 5, Pk 147 (CIN)",Active,https://www.espn.com/nfl/player/_/id/4039029/khalid-kareem
Jordan Fuller,s:20~l:28~a:4040613,Black,10000.00%,29,Happy,3574.07%,"6' 2"", 203 lbs",3/4/1998 (27),Ohio State,"2020: Rd 6, Pk 199 (LAR)",Active,https://www.espn.com/nfl/player/_/id/4040613/jordan-fuller
Darnell Mooney,s:20~l:28~a:4040655,Black,10000.00%,23,Angry,5885.47%,"5' 11"", 180 lbs",10/29/1997 (27),Tulane,"2020: Rd 5, Pk 173 (CHI)",Active,https://www.espn.com/nfl/player/_/id/4040655/darnell-mooney
Caleb Johnson,s:20~l:28~a:4051069,Middle Eastern,4815.46%,36,Neutral,8229.82%,"6' 2"", 220 lbs",7/28/1998 (26),Houston Baptist,N/A,Active,https://www.espn.com/nfl/player/_/id/4051069/caleb-johnson
A.J. Terrell,s:20~l:28~a:4239995,Black,3061.85%,37,Sad,9998.44%,"6' 1"", 200 lbs",9/23/1998 (26),Clemson,"2020: Rd 1, Pk 16 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4239995/aj-terrell
Keith Taylor Jr.,s:20~l:28~a:4243332,Black,9903.30%,25,Neutral,9999.44%,"6' 3"", 195 lbs",5/3/1999 (26),Washington,"2021: Rd 5, Pk 166 (CAR)",Active,https://www.espn.com/nfl/player/_/id/4243332/keith-taylor-jr
DeAngelo Malone,s:20~l:28~a:4243457,Black,10000.00%,29,Happy,9992.23%,"6' 3"", 235 lbs",7/12/1999 (25),Western KY,"2022: Rd 3, Pk 82 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4243457/deangelo-malone
Troy Andersen,s:20~l:28~a:4247807,Latino Hispanic,4216.27%,26,Happy,5047.04%,"6' 4"", 245 lbs",4/23/1999 (26),Montana St,"2022: Rd 2, Pk 58 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4247807/troy-andersen
Carlos Washington Jr.,s:20~l:28~a:4248425,Black,10000.00%,24,Happy,9996.94%,"5' 11"", 210 lbs",12/26/1998 (26),SE Louisiana,N/A,Active,https://www.espn.com/nfl/player/_/id/4248425/carlos-washington-jr
Arnold Ebiketie,s:20~l:28~a:4257591,Black,10000.00%,28,Neutral,6092.92%,"6' 2"", 250 lbs",1/24/1999 (26),Penn State,"2022: Rd 2, Pk 38 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4257591/arnold-ebiketie
Josh Thompson,s:20~l:28~a:4259346,Black,10000.00%,29,Happy,9987.10%,"6' 0"", 194 lbs",10/20/1998 (26),Texas,N/A,Active,https://www.espn.com/nfl/player/_/id/4259346/josh-thompson
Ta'Quon Graham,s:20~l:28~a:4262197,Black,10000.00%,27,Neutral,9999.92%,"6' 4"", 300 lbs",12/1/1998 (26),Texas,"2021: Rd 5, Pk 148 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4262197/taquon-graham
Emory Jones,s:20~l:28~a:4360230,Indian,7806.65%,27,Happy,6142.36%,"6' 2"", 210 lbs",4/29/2000 (25),Cincinnati,N/A,Active,https://www.espn.com/nfl/player/_/id/4360230/emory-jones
Kyle Pitts,s:20~l:28~a:4360248,Black,10000.00%,28,Neutral,9999.76%,"6' 6"", 250 lbs",10/6/2000 (24),Florida,"2021: Rd 1, Pk 4 (ATL)",QUESTIONABLE,https://www.espn.com/nfl/player/_/id/4360248/kyle-pitts
Michael Penix Jr.,s:20~l:28~a:4360423,Black,10000.00%,26,Happy,9992.10%,"6' 2"", 220 lbs",5/8/2000 (25),Washington,"2024: Rd 1, Pk 8 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4360423/michael-penix-jr
Jovaughn Gwyn,s:20~l:28~a:4362845,Latino Hispanic,5548.75%,29,Neutral,9950.85%,"6' 2"", 310 lbs",3/18/1999 (26),South Carolina,"2023: Rd 7, Pk 225 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4362845/jovaughn-gwyn
Dylan Drummond,s:20~l:28~a:4363551,Black,6006.01%,24,Happy,9992.53%,"6' 0"", 190 lbs",1/17/2000 (25),E Michigan,N/A,Active,https://www.espn.com/nfl/player/_/id/4363551/dylan-drummond
Chris Blair,s:20~l:28~a:4369886,Black,10000.00%,25,Neutral,9622.28%,"6' 2"", 215 lbs",10/6/1997 (27),Alcorn St,N/A,Active,https://www.espn.com/nfl/player/_/id/4369886/chris-blair
Matthew Cindric,s:20~l:28~a:4372738,White,9999.80%,31,Happy,9976.44%,"6' 4"", 295 lbs",8/2/1999 (25),California,N/A,Active,https://www.espn.com/nfl/player/_/id/4372738/matthew-cindric
Tyler Allgeier,s:20~l:28~a:4373626,Asian,5735.07%,27,Happy,9925.26%,"5' 11"", 225 lbs",4/15/2000 (25),BYU,"2022: Rd 5, Pk 151 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4373626/tyler-allgeier
Teagan Quitoriano,s:20~l:28~a:4374045,White,9999.82%,27,Happy,9968.21%,"6' 6"", 259 lbs",3/15/2000 (25),Oregon St,"2022: Rd 5, Pk 170 (HOU)",Active,https://www.espn.com/nfl/player/_/id/4374045/teagan-quitoriano
LaCale London,s:20~l:28~a:4376288,Latino Hispanic,3771.22%,25,Fear,7987.25%,"6' 3"", 330 lbs",8/5/1997 (27),W Illinois,N/A,Active,https://www.espn.com/nfl/player/_/id/4376288/lacale-london
Jesse Matthews,s:20~l:28~a:4379569,Black,3570.46%,23,Happy,9988.77%,"6' 0"", 190 lbs",8/12/1999 (25),San Diego St,N/A,Active,https://www.espn.com/nfl/player/_/id/4379569/jesse-matthews
Dee Alford,s:20~l:28~a:4401823,Black,10000.00%,23,Neutral,9740.99%,"5' 11"", 180 lbs",11/5/1997 (27),Tusculum,N/A,Active,https://www.espn.com/nfl/player/_/id/4401823/dee-alford
Zach Harrison,s:20~l:28~a:4426412,Black,10000.00%,32,Happy,9997.27%,"6' 5"", 270 lbs",8/14/2001 (23),Ohio State,"2023: Rd 3, Pk 75 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4426412/zach-harrison
Drake London,s:20~l:28~a:4426502,Latino Hispanic,4456.83%,25,Neutral,9093.95%,"6' 4"", 215 lbs",7/24/2001 (23),USC,"2022: Rd 1, Pk 8 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4426502/drake-london
Brandon Dorlus,s:20~l:28~a:4427090,Black,8024.48%,29,Happy,5711.32%,"6' 3"", 295 lbs",3/22/2001 (24),Oregon,"2024: Rd 4, Pk 109 (ATL)",Active,https://www.espn.com/nfl/player/_/id/4427090/brandon-dorlus
Bralen Trice,s:20~l:28~a:4428713,Latino Hispanic,3379.11%,25,Neutral,9592.20%,"6' 3"", 245 lbs",2/26/2001 (24),Washington,"2024: Rd 3, Pk 74 (ATL)",QUESTIONABLE,https://www.espn.com/nfl/player/_/id/4428713/bralen-trice
